STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Funding,009-Agency Income,"197,756","324,594","328,966",0,"328,966","329,201",0,"329,201"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Funding,00S-General Fund,"4,541","10,200","10,000",0,"10,000","10,000",0,"10,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,010-Personal Services-Perm. Classi,"217,616","225,966","236,051",0,"236,051","243,264",0,"243,264"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,011-Personal Services-Unclassified,"104,712","106,841","108,262",0,"108,262","108,263",0,"108,263"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,020-Current Expenses,"3,804","6,115","5,500",0,"5,500","5,500",0,"5,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,022-Rents-Leases Other Than State,"1,572","1,800","1,732",0,"1,732","1,732",0,"1,732"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,026-Organizational Dues,0,200,100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,027-Transfers To Oit,"11,140","13,093","13,394",11,"13,405","14,385",6,"14,391"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,028-Transfers to Plant & Prop,389,"1,349","1,175",71,"1,246","1,189",36,"1,225"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,030-Equipment New/Replacement,"1,092","2,000",100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,037-Technology - Hardware,"3,095","2,000","2,000",0,"2,000","2,000",0,"2,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,038-Technology - Software,565,800,850,0,850,850,0,850
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,039-Telecommunications,"4,415","4,685","4,860",0,"4,860","4,860",0,"4,860"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,040-Indirect Costs,"2,408","6,450","1,021",0,"1,021","1,026",0,"1,026"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,041-Audit Fund Set Aside,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,042-Additional Fringe Benefits,"3,167","3,360","3,425",0,"3,425","3,500",0,"3,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,046-Consultants,0,"5,000","5,000",0,"5,000","5,000",0,"5,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,049-Transfer to Other State Agenci,"30,779","26,591","34,382",0,"34,382","34,964",0,"34,964"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,050-Personal Service-Temp/Appointe,"31,036","69,093","67,325","5,675","73,000","67,019","7,981","75,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,060-Benefits,"160,948","195,467","186,912",446,"187,358","196,506",627,"197,133"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,062-Workers Compensation,"4,921","1,245","1,043",0,"1,043","1,109",0,"1,109"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,065-Board Expenses,"7,763","12,000","12,600",0,"12,600","12,600",0,"12,600"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,066-Employee training,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,070-In-State Travel Reimbursement,679,"2,500","1,500",0,"1,500","1,500",0,"1,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,080-Out-Of State Travel,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,211-Property and Casualty Insuranc,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,230-Interpreter Services,"8,314","16,600","14,871",0,"14,871","13,225",0,"13,225"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,001-Transfer from Other Agencies,"70,429","91,052","90,000",0,"90,000","90,000",0,"90,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,005-Private Local Funds,"16,000",0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,00S-General Fund,"511,986","612,107","612,107","6,203","618,310","628,696","8,650","637,346"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Position,FTE1-Permanent Classified,4,4,4,0,4,4,0,4
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Position,FTE2-Unclassified Positions,1,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,010-Personal Services-Perm. Classi,"81,393","82,830","87,864",0,"87,864","87,864",0,"87,864"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,020-Current Expenses,"1,295","2,000","1,800",0,"1,800","1,800",0,"1,800"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,022-Rents-Leases Other Than State,540,540,380,0,380,380,0,380
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,026-Organizational Dues,396,950,950,0,950,950,0,950
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,027-Transfers To Oit,"2,734","4,495","2,477",0,"2,477","2,670",0,"2,670"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,028-Transfers to Plant & Prop,133,427,273,0,273,269,0,269
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,030-Equipment New/Replacement,"5,734","1,000",100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,037-Technology - Hardware,0,0,100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,038-Technology - Software,0,0,250,0,250,250,0,250
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,039-Telecommunications,"1,262","2,350","1,350",0,"1,350","1,350",0,"1,350"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,040-Indirect Costs,"1,639","2,150","2,016",0,"2,016","2,026",0,"2,026"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,041-Audit Fund Set Aside,0,170,150,0,150,150,0,150
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,042-Additional Fringe Benefits,"5,258","6,075","7,029",0,"7,029","7,029",0,"7,029"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,046-Consultants,0,"4,000","4,000",0,"4,000","4,000",0,"4,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,049-Transfer to Other State Agenci,"9,724","9,085","7,296",0,"7,296","7,424",0,"7,424"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,050-Personal Service-Temp/Appointe,0,"32,709","20,000",0,"20,000","20,000",0,"20,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,060-Benefits,"28,724","31,767","33,860",0,"33,860","34,894",0,"34,894"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,062-Workers Compensation,0,350,270,0,270,280,0,280
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,070-In-State Travel Reimbursement,233,"2,000","1,500",0,"1,500","1,500",0,"1,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,080-Out-Of State Travel,0,"3,000","2,500",0,"2,500","2,500",0,"2,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,211-Property and Casualty Insuranc,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Funding,000-Federal Funds,"139,065","185,899","174,166",0,"174,166","175,537",0,"175,537"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Position,FTE1-Permanent Classified,1,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,020-Current Expenses,"3,750","3,750","2,575",0,"2,575","2,570",0,"2,570"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,040-Indirect Costs,0,0,"1,175",0,"1,175","1,180",0,"1,180"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,571-Pass Thru Grants,"77,660","123,750","123,750",0,"123,750","123,750",0,"123,750"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Funding,009-Agency Income,"79,481","127,500","127,500",0,"127,500","127,500",0,"127,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Funding,00S-General Fund,"1,929",0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,020-Current Expenses,0,50,60,0,60,60,0,60
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,037-Technology - Hardware,0,"2,206","2,974",0,"2,974","3,140",0,"3,140"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,038-Technology - Software,276,410,"1,263",0,"1,263","1,399",0,"1,399"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Funding,001-Transfer from Other Agencies,276,"2,666","4,297",0,"4,297","4,599",0,"4,599"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,020-Current Expenses,0,120,160,0,160,160,0,160
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,037-Technology - Hardware,0,"2,206","7,558",0,"7,558","7,996",0,"7,996"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,038-Technology - Software,"12,931","16,048","23,474",0,"23,474","25,071",0,"25,071"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Funding,001-Transfer from Other Agencies,"12,931","18,374","31,192",0,"31,192","33,227",0,"33,227"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,020-Current Expenses,"4,438","6,750","6,419",0,"6,419","6,645",0,"6,645"
