Agency Title,Agency Code,Fiscal Year,Effective Date,Account,Account Type,Account Category (Ex),Account Summary (Ex),Goal,Funds,Fund Title,Fund Category,Vendor,Amount,Agency Title
"Agriculture, Department of",210,2024,2023-09-25,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-26,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-02,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-27,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-03,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-28,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-04,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-29,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-05,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-09,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-03,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,2133.1,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-10,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-05,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,3205,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-11,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-06,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,1954,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-12,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-07,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-6734.96,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-16,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-10,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-17,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-11,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-557.14,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-18,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-12,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-8470.61,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-19,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-13,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-22,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-14,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-23,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-17,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-24,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-18,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-25,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-19,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-26,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-20,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-29,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-21,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-30,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-24,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-01-31,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-25,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,2546.68,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-01,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-26,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-2546.68,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-02,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-27,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-05,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-28,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-06,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-07-31,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-07,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-01,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,2520.58,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-02,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-09,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-03,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-12,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-04,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-13,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-07,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-14,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-2520.58,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-15,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-09,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-16,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-10,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-20,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-11,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-21,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-14,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-22,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-15,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-23,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-16,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-17,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-18,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-21,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-22,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-23,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-24,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-03,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-25,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-03,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-28,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-04,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-29,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-05,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-09,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-26,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,4052.24,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-15,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-22,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,15975.56,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-25,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,2186,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-25,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-2186,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-30,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,3542,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-30,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-3542,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-02,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,6435.38,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-6435.38,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-29,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,3157.28,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-10,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-4323.8,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-10,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-11,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-17,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-19,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-3081.78,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-18,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,4891.84,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-24,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-6749.34,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-18,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-4891.84,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-19,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,3081.78,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-16,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-26,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,4127.38,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-23,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-2671.51,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-27,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-4127.38,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-23,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,2671.51,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-28,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-26,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-4052.24,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-02-29,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-29,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-3157.28,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-01,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-06,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-04,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-07,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-05,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-09,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,2810.66,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-06,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-05-09,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,-2810.66,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-07,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-12,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-04-24,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,6749.34,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-11,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-12,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2024-03-13,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
