STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,039-Telecommunications,"3,531","4,370","4,685","4,685"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,040-Indirect Costs,"2,803","9,165","6,450","6,450"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,041-Audit Fund Set Aside,0,40,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,042-Additional Fringe Benefits,"1,371","2,150","3,360","3,360"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,046-Consultants,0,"3,500","5,000","5,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,049-Transfer to Other State Agenci,"25,323","25,602","26,245","26,591"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,050-Personal Service-Temp/Appointe,"26,347","31,714","63,141","66,049"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,060-Benefits,"115,560","184,309","179,392","188,189"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,062-Workers Compensation,0,0,"1,231","1,245"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,065-Board Expenses,"5,238","9,000","12,000","12,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,066-Employee training,0,1,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,070-In-State Travel Reimbursement,249,"1,500","2,500","2,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,080-Out-Of State Travel,0,50,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,211-Property and Casualty Insuranc,0,320,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,230-Interpreter Services,"8,914","13,190","16,600","16,600"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,001-Transfer from Other Agencies,"-59,340","-91,543","-87,314","-87,679"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,005-Private Local Funds,"-16,000",-413,0,0
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,00S-General Fund,"-357,904","-536,779","-558,893","-572,779"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Position,FTE1-Permanent Classified,4,4,4,4
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Position,FTE2-Unclassified Positions,1,1,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,010-Personal Services-Perm. Classi,"70,408","74,256","74,312","74,662"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,020-Current Expenses,630,"2,430","2,000","2,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,022-Rents-Leases Other Than State,540,540,540,540
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,026-Organizational Dues,573,950,950,950
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,027-Transfers To Oit,"1,977","3,161","4,016","4,495"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,028-Transfers to Plant & Property,322,362,448,421
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,030-Equipment New/Replacement,0,100,"1,000","1,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,039-Telecommunications,"2,065","1,200","2,350","2,350"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,040-Indirect Costs,962,"2,665","2,150","2,150"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,041-Audit Fund Set Aside,0,164,170,170
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,042-Additional Fringe Benefits,"2,514","5,000","6,050","6,075"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,046-Consultants,0,"2,500","4,000","4,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,049-Transfer to Other State Agenci,"8,675","8,787","8,970","9,085"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,050-Personal Service-Temp/Appointe,0,"29,542","32,709","32,709"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,060-Benefits,"25,902","30,447","29,171","29,975"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,062-Workers Compensation,0,0,350,350
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,070-In-State Travel Reimbursement,97,"1,245","2,000","2,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,080-Out-Of State Travel,0,"1,302","3,000","3,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,211-Property and Casualty Insuranc,0,82,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Funding,000-Federal Funds,"-114,665","-164,733","-174,187","-175,933"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Position,FTE1-Permanent Classified,1,1,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,020-Current Expenses,"2,764","3,750","3,750","3,750"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,571-Pass Thru Grants,"92,087","123,750","123,750","123,750"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Funding,009-Agency Income,"-94,851","-127,500","-127,500","-127,500"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,020-Current Expenses,0,50,50,50
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,037-Technology - Hardware,0,"1,435","1,426","2,206"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,038-Technology - Software,88,425,410,410
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Funding,001-Transfer from Other Agencies,-88,"-1,910","-1,886","-2,666"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,020-Current Expenses,117,120,120,120
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,037-Technology - Hardware,"2,296","2,410","1,926","2,206"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,038-Technology - Software,"1,040","1,601","14,531","16,048"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Funding,001-Transfer from Other Agencies,"-3,453","-4,131","-16,577","-18,374"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,020-Current Expenses,"2,576","5,340","6,050","6,750"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,037-Technology - Hardware,"269,890","123,917","389,109","144,433"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,038-Technology - Software,"146,826","176,965","180,450","208,975"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,046-Consultants,"4,196","2,000","2,000","2,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Funding,001-Transfer from Other Agencies,"-423,488","-308,222","-577,609","-362,158"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Expense,020-Current Expenses,688,600,590,590
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Expense,037-Technology - Hardware,"8,026","6,036","22,558","22,676"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Expense,038-Technology - Software,"3,064","4,569","2,030","2,030"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Expense,046-Consultants,0,"20,000","15,000","20,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Expense,066-Employee training,0,0,"2,500","2,500"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Funding,001-Transfer from Other Agencies,"-11,778","-31,205","-42,678","-47,796"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76200000-IT FOR JUSTICE,Expense,020-Current Expenses,"1,360","1,360","1,340","1,340"
