STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Funding,00S-General Fund,4541,10200,10000,0,10000,10000,0,10000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,010-Personal Services-Perm. Classi,217616,225966,236051,0,236051,243264,0,243264
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,011-Personal Services-Unclassified,104712,106841,108262,0,108262,108263,0,108263
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,020-Current Expenses,3804,6115,5500,0,5500,5500,0,5500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,022-Rents-Leases Other Than State,1572,1800,1732,0,1732,1732,0,1732
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,026-Organizational Dues,0,200,100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,027-Transfers To Oit,11140,13093,13394,11,13405,14385,6,14391
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,028-Transfers to Plant & Prop,389,1349,1175,71,1246,1189,36,1225
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,030-Equipment New/Replacement,1092,2000,100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,037-Technology - Hardware,3095,2000,2000,0,2000,2000,0,2000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,038-Technology - Software,565,800,850,0,850,850,0,850
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,039-Telecommunications,4415,4685,4860,0,4860,4860,0,4860
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,040-Indirect Costs,2408,6450,1021,0,1021,1026,0,1026
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,041-Audit Fund Set Aside,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,042-Additional Fringe Benefits,3167,3360,3425,0,3425,3500,0,3500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,046-Consultants,0,5000,5000,0,5000,5000,0,5000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,049-Transfer to Other State Agenci,30779,26591,34382,0,34382,34964,0,34964
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,050-Personal Service-Temp/Appointe,31036,69093,67325,5675,73000,67019,7981,75000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,060-Benefits,160948,195467,186912,446,187358,196506,627,197133
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,062-Workers Compensation,4921,1245,1043,0,1043,1109,0,1109
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,065-Board Expenses,7763,12000,12600,0,12600,12600,0,12600
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,066-Employee training,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,070-In-State Travel Reimbursement,679,2500,1500,0,1500,1500,0,1500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,080-Out-Of State Travel,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,211-Property and Casualty Insuranc,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,230-Interpreter Services,8314,16600,14871,0,14871,13225,0,13225
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,001-Transfer from Other Agencies,70429,91052,90000,0,90000,90000,0,90000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,005-Private Local Funds,16000,0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Funding,00S-General Fund,511986,612107,612107,6203,618310,628696,8650,637346
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Position,FTE1-Permanent Classified,4,4,4,0,4,4,0,4
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Position,FTE2-Unclassified Positions,1,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,010-Personal Services-Perm. Classi,81393,82830,87864,0,87864,87864,0,87864
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,020-Current Expenses,1295,2000,1800,0,1800,1800,0,1800
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,022-Rents-Leases Other Than State,540,540,380,0,380,380,0,380
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,026-Organizational Dues,396,950,950,0,950,950,0,950
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,027-Transfers To Oit,2734,4495,2477,0,2477,2670,0,2670
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,028-Transfers to Plant & Prop,133,427,273,0,273,269,0,269
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,030-Equipment New/Replacement,5734,1000,100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,037-Technology - Hardware,0,0,100,0,100,100,0,100
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,038-Technology - Software,0,0,250,0,250,250,0,250
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,039-Telecommunications,1262,2350,1350,0,1350,1350,0,1350
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,040-Indirect Costs,1639,2150,2016,0,2016,2026,0,2026
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,041-Audit Fund Set Aside,0,170,150,0,150,150,0,150
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,042-Additional Fringe Benefits,5258,6075,7029,0,7029,7029,0,7029
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,046-Consultants,0,4000,4000,0,4000,4000,0,4000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,049-Transfer to Other State Agenci,9724,9085,7296,0,7296,7424,0,7424
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,050-Personal Service-Temp/Appointe,0,32709,20000,0,20000,20000,0,20000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,060-Benefits,28724,31767,33860,0,33860,34894,0,34894
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,062-Workers Compensation,0,350,270,0,270,280,0,280
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,070-In-State Travel Reimbursement,233,2000,1500,0,1500,1500,0,1500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,080-Out-Of State Travel,0,3000,2500,0,2500,2500,0,2500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Expense,211-Property and Casualty Insuranc,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Funding,000-Federal Funds,139065,185899,174166,0,174166,175537,0,175537
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10060000-CLIENT ASSISTANCE PROGRAM,Position,FTE1-Permanent Classified,1,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,020-Current Expenses,3750,3750,2575,0,2575,2570,0,2570
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,040-Indirect Costs,0,0,1175,0,1175,1180,0,1180
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Expense,571-Pass Thru Grants,77660,123750,123750,0,123750,123750,0,123750
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Funding,009-Agency Income,79481,127500,127500,0,127500,127500,0,127500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10070000-TELECOMMUNICATIONS ASSISTANCE,Funding,00S-General Fund,1929,0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,020-Current Expenses,0,50,60,0,60,60,0,60
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,037-Technology - Hardware,0,2206,2974,0,2974,3140,0,3140
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Expense,038-Technology - Software,276,410,1263,0,1263,1399,0,1399
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76070000-IT FOR JUDICIAL COUNCIL,Funding,001-Transfer from Other Agencies,276,2666,4297,0,4297,4599,0,4599
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,020-Current Expenses,0,120,160,0,160,160,0,160
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,037-Technology - Hardware,0,2206,7558,0,7558,7996,0,7996
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Expense,038-Technology - Software,12931,16048,23474,0,23474,25071,0,25071
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76120000-IT FOR MILITARY AFFRS & VET SV,Funding,001-Transfer from Other Agencies,12931,18374,31192,0,31192,33227,0,33227
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,020-Current Expenses,4438,6750,6419,0,6419,6645,0,6645
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,037-Technology - Hardware,49200,144433,120209,0,120209,93000,0,93000
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,038-Technology - Software,156419,208975,367779,0,367779,304436,0,304436
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Expense,046-Consultants,6500,2000,7755,0,7755,9600,0,9600
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76140000-IT FOR ADMINISTRATIVE SERV,Funding,001-Transfer from Other Agencies,216557,362158,502162,0,502162,413681,0,413681
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76180000-IT FOR AGRICULTURE,Expense,020-Current Expenses,108,590,580,0,580,580,0,580
